County,State,mean_life_expectancy,State_FIPS,County_FIPS,black_population
Sitka City and Borough,Alaska,80.0851648320793,02,220,195.0
Southeast Fairbanks Census Area,Alaska,77.453426696203,02,240,98.0
Valdez-Cordova Census Area,Alaska,78.4894852204936,02,261,12.0
Wade Hampton Census Area,Alaska,68.2374433774828,02,270,
Northwest Arctic Borough,Alaska,72.3150672257676,02,188,43.0
Aleutians East Borough,Alaska,83.9668552562973,02,013,231.0
Aleutians West Census Area,Alaska,83.9668552562973,02,016,315.0
Dillingham Census Area,Alaska,73.902430273866,02,070,12.0
Lake and Peninsula Borough,Alaska,73.902430273866,02,164,11.0
Denali Borough,Alaska,73.7545978405956,02,068,21.0
Yukon-Koyukuk Census Area,Alaska,73.7545978405956,02,290,21.0
Hoonah-Angoon Census Area,Alaska,80.6333971268856,02,105,77.0
Skagway Municipality,Alaska,80.6333971268856,02,230,11.0
Yakutat City and Borough,Alaska,80.6333971268856,02,282,7.0
Ketchikan Gateway Borough,Alaska,78.7599035617588,02,130,68.0
Petersburg Borough,Alaska,78.7599035617588,02,195,75.0
Prince of Wales-Hyder Census Area,Alaska,78.7599035617588,02,198,13.0
Wrangell City and Borough,Alaska,78.7599035617588,02,275,7.0
Apache County,Arizona,72.5861795747435,04,001,361.0
Cochise County,Arizona,77.8381814457557,04,003,5076.0
Coconino County,Arizona,78.7310637809859,04,005,2136.0
Gila County,Arizona,74.5194372043746,04,007,332.0
Graham County,Arizona,77.0588505436379,04,009,741.0
Greenlee County,Arizona,78.2700423686553,04,011,175.0
Maricopa County,Arizona,79.7975632543799,04,013,216064.0
Mohave County,Arizona,75.0984277272029,04,015,2100.0
Navajo County,Arizona,74.0172421905699,04,017,905.0
Pima County,Arizona,78.7473891386961,04,019,35337.0
Pinal County,Arizona,80.8872234047816,04,021,18223.0
Santa Cruz County,Arizona,81.6928524316121,04,023,194.0
Yavapai County,Arizona,78.2013767088911,04,025,1159.0
La Paz County,Arizona,81.1323584179148,04,012,77.0
Yuma County,Arizona,81.1323584179148,04,027,4230.0
Arkansas County,Arkansas,73.5078340747071,05,001,4892.0
Ashley County,Arkansas,74.1018929294341,05,003,5440.0
Baxter County,Arkansas,75.9668160004689,05,005,101.0
Benton County,Arkansas,79.3662392360665,05,007,3634.0
Boone County,Arkansas,76.2052538764821,05,009,129.0
Bradley County,Arkansas,73.6321012263139,05,011,3239.0
Calhoun County,Arkansas,74.2742607709339,05,013,1140.0
Carroll County,Arkansas,76.8819075049595,05,015,318.0
Chicot County,Arkansas,73.3238474544558,05,017,6070.0
Clark County,Arkansas,75.3882863851655,05,019,5348.0
Clay County,Arkansas,72.9811894014708,05,021,76.0
Cleburne County,Arkansas,75.8127585008705,05,023,143.0
Cleveland County,Arkansas,74.8939886154834,05,025,885.0
Columbia County,Arkansas,74.0855795655613,05,027,8420.0
Conway County,Arkansas,74.754414371743,05,029,2490.0
Craighead County,Arkansas,76.0817250967884,05,031,14233.0
Crawford County,Arkansas,75.6766406592927,05,033,825.0
Crittenden County,Arkansas,72.5637861678559,05,035,25110.0
Cross County,Arkansas,73.2244878594942,05,037,4033.0
Dallas County,Arkansas,73.4422555480321,05,039,3179.0
Desha County,Arkansas,72.6462159118589,05,041,5837.0
Drew County,Arkansas,75.1951468080834,05,043,5369.0
Faulkner County,Arkansas,76.4874032503551,05,045,13464.0
Franklin County,Arkansas,74.4845723172756,05,047,164.0
Fulton County,Arkansas,74.9094662928843,05,049,9.0
Garland County,Arkansas,74.6472657226993,05,051,7959.0
Grant County,Arkansas,75.4770090781045,05,053,788.0
Greene County,Arkansas,74.1589164965496,05,055,411.0
Hempstead County,Arkansas,75.1979646501176,05,057,6737.0
Hot Spring County,Arkansas,74.4999020548917,05,059,3770.0
Howard County,Arkansas,73.932743414837,05,061,2839.0
Independence County,Arkansas,75.597642844104,05,063,722.0
Izard County,Arkansas,75.3232023880092,05,065,166.0
Jackson County,Arkansas,73.2755006173174,05,067,2997.0
Jefferson County,Arkansas,73.3573657986794,05,069,40617.0
Johnson County,Arkansas,75.708328154088,05,071,460.0
Lafayette County,Arkansas,74.1087285476435,05,073,2763.0
Lawrence County,Arkansas,73.8666511091755,05,075,122.0
Lee County,Arkansas,73.2898101789483,05,077,5615.0
Lincoln County,Arkansas,74.8737212942846,05,079,4337.0
Little River County,Arkansas,74.0887659563583,05,081,2644.0
Logan County,Arkansas,74.3392486202055,05,083,381.0
Lonoke County,Arkansas,74.8597538055158,05,085,4201.0
Madison County,Arkansas,75.3760684364268,05,087,110.0
Marion County,Arkansas,75.2302699143187,05,089,59.0
Miller County,Arkansas,74.464750313759,05,091,10991.0
Mississippi County,Arkansas,71.5808568937905,05,093,15404.0
Monroe County,Arkansas,72.5512464018065,05,095,3081.0
Montgomery County,Arkansas,75.7333292628795,05,097,53.0
Nevada County,Arkansas,74.1305169224004,05,099,2945.0
Newton County,Arkansas,76.8481553354379,05,101,0.0
Ouachita County,Arkansas,72.9330993978912,05,103,10072.0
Perry County,Arkansas,74.9408602678681,05,105,275.0
Phillips County,Arkansas,71.0370074249924,05,107,12410.0
Pike County,Arkansas,74.8391656898764,05,109,334.0
Poinsett County,Arkansas,71.2771472412706,05,111,1448.0
Polk County,Arkansas,74.8970397900164,05,113,77.0
Pope County,Arkansas,76.4300136434993,05,115,1888.0
Prairie County,Arkansas,75.5071739186967,05,117,1114.0
Pulaski County,Arkansas,75.8807017523375,05,119,140671.0
Randolph County,Arkansas,74.4503944893886,05,121,184.0
Saint Francis County,Arkansas,74.2814678477732,05,123,14335.0
Saline County,Arkansas,77.1945795984751,05,125,6989.0
Scott County,Arkansas,74.7762367047787,05,127,14.0
Searcy County,Arkansas,75.209341850468,05,129,34.0
Sebastian County,Arkansas,75.7412578528108,05,131,8397.0
Sevier County,Arkansas,75.0335734317659,05,133,858.0
Sharp County,Arkansas,73.8718009909941,05,135,55.0
Stone County,Arkansas,75.9810049570156,05,137,10.0
Union County,Arkansas,73.1547114216788,05,139,13299.0
Van Buren County,Arkansas,76.1235890134709,05,141,91.0
Washington County,Arkansas,77.842915624892,05,143,7585.0
White County,Arkansas,75.2602189004461,05,145,3357.0
Woodruff County,Arkansas,72.6191345768075,05,147,1831.0
Yell County,Arkansas,74.3789291508417,05,149,590.0
Alameda County,California,82.1501481156434,06,001,182092.0
Alpine County,California,78.7141694777777,06,003,10.0
Amador County,California,79.6289913494107,06,005,898.0
Butte County,California,77.5105736588065,06,007,3366.0
Calaveras County,California,79.3962210334918,06,009,258.0
Colusa County,California,79.8683726910953,06,011,222.0
Contra Costa County,California,81.820905224195,06,013,97032.0
Del Norte County,California,75.3686655248315,06,015,642.0
El Dorado County,California,81.4317611841157,06,017,1784.0
Fresno County,California,78.4598027402172,06,019,48434.0
Glenn County,California,77.4678250112228,06,021,195.0
Humboldt County,California,76.7743480124378,06,023,1603.0
Imperial County,California,80.7733344280559,06,025,4856.0
Inyo County,California,79.2496428941011,06,027,180.0
Kern County,California,77.1131579275637,06,029,48264.0
Kings County,California,79.3576346699736,06,031,9596.0
Lake County,California,74.8583185356204,06,033,1395.0
Lassen County,California,78.1832914319916,06,035,2845.0
Los Angeles County,California,81.5672419912865,06,037,831313.0
Madera County,California,78.9932943575827,06,039,5102.0
Marin County,California,84.5696953393942,06,041,6075.0
Mariposa County,California,80.0692648230514,06,043,226.0
Mendocino County,California,78.5297725160372,06,045,564.0
Merced County,California,78.5160140959399,06,047,8902.0
Modoc County,California,77.3676287645249,06,049,82.0
Mono County,California,84.9099794657506,06,051,90.0
Monterey County,California,81.9215612488998,06,053,11488.0
Napa County,California,81.1717905624185,06,055,2943.0
Nevada County,California,81.0737790934898,06,057,495.0
Orange County,California,82.5515884259936,06,059,51519.0
Placer County,California,81.6415657950364,06,061,5473.0
Plumas County,California,78.4309252153192,06,063,26.0
Riverside County,California,80.3460832691874,06,065,145025.0
Sacramento County,California,79.0908345914297,06,067,146464.0
San Benito County,California,81.7030195794554,06,069,440.0
San Bernardino County,California,78.3619715863638,06,071,180733.0
San Diego County,California,81.6053443891293,06,073,163928.0
San Francisco County,California,82.9715287689956,06,075,45607.0
San Joaquin County,California,78.1059218431169,06,077,49874.0
San Luis Obispo County,California,81.2878144166655,06,079,5516.0
San Mateo County,California,84.0123323762231,06,081,18533.0
Santa Barbara County,California,81.6454722199999,06,083,8878.0
Santa Clara County,California,83.9160943086229,06,085,48003.0
Santa Cruz County,California,81.9961564120804,06,087,2374.0
Shasta County,California,75.8154731112947,06,089,1759.0
Sierra County,California,78.6673415441736,06,091,2.0
Siskiyou County,California,76.2815852028519,06,093,709.0
Solano County,California,79.6679789808252,06,095,60716.0
Sonoma County,California,81.4949042107213,06,097,7848.0
Stanislaus County,California,77.7558204850156,06,099,14505.0
Sutter County,California,78.425992865714,06,101,1861.0
Tehama County,California,77.156038711692,06,103,394.0
Trinity County,California,76.476377604325,06,105,144.0
Tulare County,California,78.0600422756,06,107,7261.0
Tuolumne County,California,78.5207303713631,06,109,1023.0
Ventura County,California,81.8451328376878,06,111,14847.0
Yolo County,California,80.902034743803,06,113,5161.0
Yuba County,California,75.7450257040619,06,115,2260.0
Alamosa County,Colorado,75.771887610673,08,003,337.0
Archuleta County,Colorado,81.6414378243916,08,007,119.0
Baca County,Colorado,76.9965655550903,08,009,48.0
Bent County,Colorado,75.7641542661414,08,011,472.0
Chaffee County,Colorado,81.2002092122488,08,015,237.0
Cheyenne County,Colorado,78.8841561398334,08,017,6.0
Clear Creek County,Colorado,82.2134532225974,08,019,105.0
Conejos County,Colorado,76.3307341255663,08,021,14.0
Costilla County,Colorado,76.7769601558707,08,023,13.0
Crowley County,Colorado,77.1719431023493,08,025,294.0
Custer County,Colorado,81.0944165093847,08,027,136.0
Delta County,Colorado,77.9358229078402,08,029,217.0
Dolores County,Colorado,79.3628695960052,08,033,0.0
Douglas County,Colorado,83.4601212130212,08,035,3533.0
Eagle County,Colorado,88.2928566275646,08,037,416.0
Elbert County,Colorado,81.4849215372713,08,039,179.0
El Paso County,Colorado,78.9786695180627,08,041,40766.0
Fremont County,Colorado,77.137998463904,08,043,2360.0
Garfield County,Colorado,80.5212296945579,08,045,465.0
Gilpin County,Colorado,81.1262138403668,08,047,17.0
Grand County,Colorado,83.5860252464151,08,049,115.0
Gunnison County,Colorado,82.632977713167,08,051,103.0
Huerfano County,Colorado,75.6325634414296,08,055,23.0
Jackson County,Colorado,79.6337211914158,08,057,1.0
Kiowa County,Colorado,77.5284594449532,08,061,7.0
Kit Carson County,Colorado,79.2319755865927,08,063,306.0
Lake County,Colorado,81.4714622277775,08,065,8.0
La Plata County,Colorado,81.6596562998791,08,067,242.0
Larimer County,Colorado,81.5083109395379,08,069,2931.0
Las Animas County,Colorado,76.3309843460437,08,071,133.0
Lincoln County,Colorado,78.6842812775749,08,073,468.0
Logan County,Colorado,79.2200596051251,08,075,480.0
Mesa County,Colorado,78.3937721412894,08,077,1038.0
Moffat County,Colorado,78.1221748148496,08,081,109.0
Montezuma County,Colorado,77.1367714339189,08,083,104.0
Montrose County,Colorado,79.2461641337684,08,085,233.0
Morgan County,Colorado,78.13439908772,08,087,875.0
Otero County,Colorado,75.1401575306602,08,089,89.0
Ouray County,Colorado,84.0203909090915,08,091,0.0
Park County,Colorado,82.7078121177392,08,093,18.0
Phillips County,Colorado,80.0902373229648,08,095,10.0
Pitkin County,Colorado,90.470655000783,08,097,254.0
Prowers County,Colorado,76.7338690354723,08,099,78.0
Pueblo County,Colorado,76.4534159713537,08,101,3625.0
Rio Blanco County,Colorado,78.8510030730045,08,103,18.0
Rio Grande County,Colorado,76.7006333576077,08,105,88.0
Routt County,Colorado,83.0859439169025,08,107,179.0
Saguache County,Colorado,79.549357835051,08,109,0.0
San Miguel County,Colorado,85.8934808652553,08,113,12.0
Sedgwick County,Colorado,77.6908466567926,08,115,26.0
Summit County,Colorado,90.7599342440293,08,117,299.0
Teller County,Colorado,80.4060865096973,08,119,216.0
Washington County,Colorado,79.5359214085342,08,121,43.0
Yuma County,Colorado,78.8699502657181,08,125,106.0
Adams County,Colorado,80.2432338592034,08,001,15373.0
Arapahoe County,Colorado,80.2432338592034,08,005,64110.0
Boulder County,Colorado,80.2432338592034,08,013,2914.0
Broomfield County,Colorado,80.2432338592034,08,014,610.0
Denver County,Colorado,80.2432338592034,08,031,64805.0
Jefferson County,Colorado,80.2432338592034,08,059,6452.0
Weld County,Colorado,80.2432338592034,08,123,3109.0
Fairfield County,Connecticut,82.5933818002003,09,001,107282.0
Hartford County,Connecticut,80.2119442590321,09,003,120439.0
Litchfield County,Connecticut,80.4021916136219,09,005,3154.0
Middlesex County,Connecticut,81.0821212220154,09,007,8214.0
New Haven County,Connecticut,80.061944421033,09,009,110829.0
New London County,Connecticut,79.9198566902699,09,011,15526.0
Tolland County,Connecticut,81.718649046245,09,013,4560.0
Windham County,Connecticut,78.8145339848324,09,015,2692.0
Kent County,Delaware,77.2142387207649,10,001,42097.0
New Castle County,Delaware,78.329504469616,10,003,134502.0
Sussex County,Delaware,78.511223894838,10,005,26428.0
Alachua County,Florida,78.4485792222787,12,001,50945.0
Baker County,Florida,75.0098994703056,12,003,3798.0
Bay County,Florida,75.8233176738751,12,005,19188.0
Bradford County,Florida,75.281591103258,12,007,5214.0
Brevard County,Florida,77.4763904243823,12,009,57306.0
Broward County,Florida,80.38591179557,12,011,525216.0
Calhoun County,Florida,74.8724377962822,12,013,1933.0
Charlotte County,Florida,80.0342861683159,12,015,9748.0
Citrus County,Florida,75.4513819875713,12,017,4241.0
Clay County,Florida,77.2720166250971,12,019,19765.0
Collier County,Florida,84.5508843732645,12,021,24300.0
Columbia County,Florida,74.9065889001892,12,023,12112.0
Miami-Dade County,Florida,80.9623762730876,12,086,489030.0
DeSoto County,Florida,79.2280677265237,12,027,4590.0
Dixie County,Florida,74.6214509730913,12,029,1220.0
Duval County,Florida,75.8624927005273,12,031,264996.0
Escambia County,Florida,75.113067006593,12,033,67330.0
Flagler County,Florida,78.902559028605,12,035,11257.0
Franklin County,Florida,75.9324842435541,12,037,1689.0
Gadsden County,Florida,75.3613788068946,12,039,25718.0
Gilchrist County,Florida,76.6292374244165,12,041,1059.0
Glades County,Florida,80.4808894980128,12,043,1697.0
Gulf County,Florida,76.1199507239587,12,045,2948.0
Hamilton County,Florida,75.3710930703004,12,047,4933.0
Hardee County,Florida,78.4028121656282,12,049,2171.0
Hendry County,Florida,77.1586211178051,12,051,4578.0
Hernando County,Florida,76.698885399624,12,053,9301.0
Highlands County,Florida,78.4630943919612,12,055,9901.0
Hillsborough County,Florida,78.6239373423411,12,057,219430.0
Holmes County,Florida,73.5174425326516,12,059,1562.0
Indian River County,Florida,80.0878689742647,12,061,13282.0
Jackson County,Florida,74.7530884871818,12,063,13015.0
Jefferson County,Florida,76.8534552788289,12,065,5064.0
Lafayette County,Florida,76.6907511322574,12,067,1485.0
Lake County,Florida,78.590205121082,12,069,31492.0
Lee County,Florida,81.4778140042049,12,071,58757.0
Leon County,Florida,79.1669529782412,12,073,88889.0
Levy County,Florida,74.6523472464417,12,075,3554.0
Liberty County,Florida,75.8738053602364,12,077,1514.0
Madison County,Florida,74.8453783699189,12,079,7177.0
Manatee County,Florida,80.2599669690005,12,081,31382.0
Marion County,Florida,76.1771704219972,12,083,43307.0
Martin County,Florida,81.2904164027968,12,085,8583.0
Monroe County,Florida,79.7025052428046,12,087,5513.0
Nassau County,Florida,77.4137857800555,12,089,4948.0
Okaloosa County,Florida,77.5272617741847,12,091,18821.0
Okeechobee County,Florida,76.0526843058407,12,093,3470.0
Orange County,Florida,79.6229938205538,12,095,263131.0
Osceola County,Florida,79.1287941677334,12,097,35421.0
Palm Beach County,Florida,81.5435098991609,12,099,255606.0
Pasco County,Florida,77.1762844629969,12,101,25064.0
Pinellas County,Florida,78.395681342823,12,103,96224.0
Polk County,Florida,77.8620845497436,12,105,96445.0
Putnam County,Florida,74.090780438707,12,107,12006.0
Saint Johns County,Florida,80.7873785548533,12,109,11370.0
Saint Lucie County,Florida,79.3208079937143,12,111,57196.0
Santa Rosa County,Florida,77.4755310649387,12,113,9412.0
Sarasota County,Florida,81.0536216072404,12,115,18087.0
Seminole County,Florida,80.0229363433933,12,117,50282.0
Sumter County,Florida,80.6805603758586,12,119,9417.0
Suwannee County,Florida,75.2518438739817,12,121,6051.0
Taylor County,Florida,75.0117232413597,12,123,4875.0
Union County,Florida,68.1022321435241,12,125,3379.0
Volusia County,Florida,76.5873174711124,12,127,53908.0
Wakulla County,Florida,76.4257876549123,12,129,4751.0
Walton County,Florida,77.5629641542452,12,131,3067.0
Washington County,Florida,73.1869831493123,12,133,3873.0
Appling County,Georgia,74.1433448346722,13,001,3357.0
Atkinson County,Georgia,73.4957386486268,13,003,1496.0
Bacon County,Georgia,72.7359964465048,13,005,1735.0
Baker County,Georgia,77.1856340859936,13,007,1347.0
Baldwin County,Georgia,76.09619616506,13,009,19087.0
Banks County,Georgia,76.5450676909754,13,011,449.0
Barrow County,Georgia,76.411888155461,13,013,8266.0
Bartow County,Georgia,76.1722834809012,13,015,11163.0
Ben Hill County,Georgia,73.1598816340588,13,017,6269.0
Berrien County,Georgia,74.6754529151076,13,019,2123.0
Bibb County,Georgia,73.6322262198595,13,021,83092.0
Bleckley County,Georgia,75.6717690416959,13,023,3563.0
Brantley County,Georgia,74.2546400533743,13,025,526.0
Brooks County,Georgia,74.8172682959812,13,027,5611.0
Bryan County,Georgia,76.1180906074149,13,029,5183.0
Bulloch County,Georgia,76.9215839131574,13,031,20862.0
Burke County,Georgia,73.6021263366518,13,033,11238.0
Butts County,Georgia,73.8736433128169,13,035,6645.0
Calhoun County,Georgia,74.7431979128518,13,037,3864.0
Camden County,Georgia,77.7910556071849,13,039,9496.0
Candler County,Georgia,73.5173794672618,13,043,2631.0
Carroll County,Georgia,75.1905636320048,13,045,20904.0
Catoosa County,Georgia,77.6873163555651,13,047,1684.0
Charlton County,Georgia,76.4126485763899,13,049,3433.0
Chatham County,Georgia,77.495475731078,13,051,112500.0
Chattahoochee County,Georgia,77.0407510773315,13,053,2193.0
Chattooga County,Georgia,73.4795878806539,13,055,2686.0
Cherokee County,Georgia,79.8919212910128,13,057,14934.0
Clarke County,Georgia,78.5390655519176,13,059,33245.0
Clay County,Georgia,74.0565024724032,13,061,1912.0
Clayton County,Georgia,76.5867255823059,13,063,184017.0
Clinch County,Georgia,72.5941347103603,13,065,1826.0
Cobb County,Georgia,80.1632391745068,13,067,194744.0
Coffee County,Georgia,74.6415935021983,13,069,12104.0
Colquitt County,Georgia,74.2395419909798,13,071,10244.0
Columbia County,Georgia,79.9446528000494,13,073,23253.0
Cook County,Georgia,74.3816861362536,13,075,4790.0
Coweta County,Georgia,78.3629639007777,13,077,23913.0
Crawford County,Georgia,75.7700017855094,13,079,2870.0
Crisp County,Georgia,74.8754728821352,13,081,9935.0
Dade County,Georgia,74.9169898375515,13,083,105.0
Dawson County,Georgia,77.8404809399285,13,085,159.0
Decatur County,Georgia,73.7947102183909,13,087,11423.0
DeKalb County,Georgia,79.6424407722431,13,089,392967.0
Dodge County,Georgia,75.2439111309318,13,091,5851.0
Dooly County,Georgia,78.4687087657377,13,093,6915.0
Dougherty County,Georgia,74.5138416570881,13,095,63267.0
Douglas County,Georgia,77.3715511881552,13,097,60118.0
Early County,Georgia,73.1140819945057,13,099,5289.0
Echols County,Georgia,77.1261008355718,13,101,82.0
Effingham County,Georgia,76.3761584292673,13,103,7316.0
Elbert County,Georgia,74.4234738881675,13,105,5885.0
Emanuel County,Georgia,72.7620593157699,13,107,7730.0
Evans County,Georgia,74.8433020894414,13,109,3163.0
Fannin County,Georgia,76.9911635316195,13,111,47.0
Fayette County,Georgia,80.7588889119797,13,113,22916.0
Floyd County,Georgia,75.2562231958774,13,115,13982.0
Forsyth County,Georgia,81.64720509527,13,117,5984.0
Franklin County,Georgia,73.9914157726118,13,119,2099.0
Fulton County,Georgia,78.7678526769602,13,121,439282.0
Gilmer County,Georgia,78.110295381191,13,123,248.0
Glascock County,Georgia,73.5591151643724,13,125,207.0
Glynn County,Georgia,77.1042251846537,13,127,21014.0
Gordon County,Georgia,75.5399076199864,13,129,2336.0
Grady County,Georgia,75.6781613975346,13,131,7214.0
Greene County,Georgia,77.6535983104785,13,133,5990.0
Gwinnett County,Georgia,80.5977995974354,13,135,228057.0
Habersham County,Georgia,77.41930695738,13,137,1433.0
Hall County,Georgia,78.8501578196255,13,139,14240.0
Hancock County,Georgia,75.5511526228516,13,141,6420.0
Haralson County,Georgia,73.2548609996383,13,143,1362.0
Harris County,Georgia,79.3637275024378,13,145,5206.0
Hart County,Georgia,76.8943495410448,13,147,4862.0
Heard County,Georgia,74.7359238306926,13,149,1215.0
Henry County,Georgia,77.2246725220502,13,151,86207.0
Houston County,Georgia,77.4957791397741,13,153,44074.0
Irwin County,Georgia,74.9700522755473,13,155,2616.0
Jackson County,Georgia,76.154219538743,13,157,4335.0
Jasper County,Georgia,75.9077043960719,13,159,2779.0
Jeff Davis County,Georgia,73.27850301101,13,161,2463.0
Jefferson County,Georgia,72.677315464956,13,163,8760.0
Jenkins County,Georgia,73.4881821924482,13,165,3109.0
Johnson County,Georgia,76.1256460094423,13,167,3272.0
Jones County,Georgia,77.9077041501382,13,169,7092.0
Lamar County,Georgia,74.5163705283169,13,171,5359.0
Lanier County,Georgia,75.3402613596848,13,173,2606.0
Laurens County,Georgia,74.6099464490999,13,175,17500.0
Lee County,Georgia,76.7932149732719,13,177,5679.0
Liberty County,Georgia,76.4775650868514,13,179,26397.0
Lincoln County,Georgia,76.1576916943944,13,181,2497.0
Long County,Georgia,78.3681666188566,13,183,3944.0
Lowndes County,Georgia,75.995529913625,13,185,41468.0
Lumpkin County,Georgia,77.6218085990866,13,187,595.0
McDuffie County,Georgia,73.8513564466333,13,189,8796.0
McIntosh County,Georgia,79.7602966419833,13,191,4898.0
Macon County,Georgia,73.8433801513223,13,193,8188.0
Madison County,Georgia,75.8660518401721,13,195,2468.0
Marion County,Georgia,76.3753888559576,13,197,3126.0
Meriwether County,Georgia,74.4599480502971,13,199,8464.0
Miller County,Georgia,73.539483539702,13,201,1796.0
Mitchell County,Georgia,74.2252815852118,13,205,10842.0
Monroe County,Georgia,77.4615928697148,13,207,6463.0
Montgomery County,Georgia,75.1047075175106,13,209,2368.0
Morgan County,Georgia,77.4326850024947,13,211,4239.0
Murray County,Georgia,74.8101618892847,13,213,387.0
Muscogee County,Georgia,74.2199476837889,13,215,90256.0
Newton County,Georgia,76.0155551337021,13,217,44682.0
Oconee County,Georgia,80.90554970106,13,219,2056.0
Oglethorpe County,Georgia,77.8050173797246,13,221,2464.0
Paulding County,Georgia,78.4895950797659,13,223,27438.0
Peach County,Georgia,73.7980458639214,13,225,12179.0
Pickens County,Georgia,77.1138210119651,13,227,359.0
Pierce County,Georgia,74.4889636156105,13,229,1572.0
Pike County,Georgia,75.5700513081301,13,231,1872.0
Polk County,Georgia,73.3539926871238,13,233,5069.0
Pulaski County,Georgia,77.5360379042965,13,235,3873.0
Putnam County,Georgia,77.3546977694882,13,237,5564.0
Quitman County,Georgia,75.2221673212216,13,239,1025.0
Rabun County,Georgia,77.1527603986146,13,241,346.0
Randolph County,Georgia,75.426296165832,13,243,4518.0
